"Age","Experience","Income","Family","CCAvg","Education","Mortgage","Personal.Loan","Securities.Account","CD.Account","Online","CreditCard","Predicted_loan1","Predicted_loan2","predictions"
25,1,49,4,1.6,"Undergrad",0,"No",1,0,0,0,0.000131201552030189,0.000186068360364975,"No"
50,24,22,1,0.3,"Advanced/Professional",0,"No",0,0,0,1,0.000313019334319195,0.000315382383986917,"No"
65,39,105,4,2.4,"Advanced/Professional",0,"No",0,0,0,0,0.616474063332692,0.568208135503742,"Yes"
46,21,193,2,8.1,"Advanced/Professional",0,"Yes",0,0,0,0,0.995849155414084,0.995599746336665,"Yes"
44,18,43,2,0.7,"Undergrad",163,"No",1,0,0,0,0.0000337045242674447,0.0000321855844380731,"No"
56,30,48,1,2.2,"Advanced/Professional",0,"No",0,0,1,1,0.00116590373773275,0.0010727295773924,"No"
59,35,35,1,1.2,"Advanced/Professional",122,"No",0,0,1,0,0.00170466453316019,0.00120409144049107,"No"
40,16,29,1,2,"Graduate",0,"No",0,0,1,0,0.000887261345138455,0.000988357620876387,"No"
30,6,18,3,0.9,"Advanced/Professional",0,"No",0,0,0,0,0.00223316386370161,0.00278437389039539,"No"
31,5,50,4,1.8,"Advanced/Professional",0,"No",0,0,1,0,0.0149514397311031,0.0205713212657355,"No"
57,32,84,3,1.6,"Advanced/Professional",0,"No",1,0,0,0,0.0551409510290671,0.0480199644029719,"No"
34,9,60,3,2.3,"Undergrad",0,"No",0,0,0,0,0.000579307375215175,0.000762716293797323,"No"
39,15,45,1,0.7,"Undergrad",0,"No",0,0,1,0,0.0000271448465802308,0.0000335082269788055,"No"
39,14,43,3,0.7,"Graduate",153,"No",0,0,1,0,0.00616331424934574,0.00616259838598122,"No"
56,26,81,2,4.5,"Advanced/Professional",0,"No",0,0,0,1,0.0413451458513971,0.0428747691591206,"No"
61,37,131,1,2.9,"Undergrad",0,"No",0,0,1,0,0.0103075254453384,0.00907173968000354,"No"
29,5,44,1,0.2,"Advanced/Professional",0,"No",0,0,1,0,0.00129343107269375,0.00172733861446252,"No"
41,17,139,2,8,"Undergrad",0,"No",0,0,1,0,0.0619010706497475,0.0653647066010171,"No"
28,2,93,2,0.2,"Undergrad",0,"No",0,0,0,0,0.00129290923641275,0.0020692151920083,"No"
42,17,32,4,0,"Graduate",0,"No",0,0,1,0,0.0043192738795129,0.0051464528677129,"No"
47,23,105,2,3.3,"Undergrad",0,"No",0,0,0,0,0.00729178820913329,0.00751578526562807,"No"
59,35,131,1,3.8,"Undergrad",0,"No",0,0,1,1,0.00418310088779484,0.00363135555673015,"No"
62,36,105,2,2.8,"Undergrad",336,"No",0,0,0,0,0.0117677347867202,0.00686145862350045,"No"
47,21,60,3,2.1,"Undergrad",0,"No",0,0,1,1,0.00010733608065322,0.000123580291189378,"No"
28,3,135,2,3.3,"Undergrad",0,"No",0,0,0,1,0.0109545635810149,0.0154717493346323,"No"
46,20,29,3,0.5,"Graduate",0,"No",0,0,0,0,0.00454524746715071,0.00511940447349117,"No"
60,36,41,4,1.3,"Undergrad",174,"No",0,0,1,1,0.0000903886139925978,0.0000623686104122266,"No"
46,22,18,1,0.9,"Advanced/Professional",0,"No",0,0,1,0,0.000403290076105984,0.000407496724853839,"No"
48,22,78,3,1.1,"Undergrad",0,"No",0,0,1,0,0.000757412683337628,0.000905540757214063,"No"
25,-1,113,4,2.3,"Advanced/Professional",0,"No",0,0,0,1,0.326770039454938,0.414437777734074,"No"
43,19,34,3,0.6,"Graduate",0,"No",0,0,0,0,0.00656900586468018,0.00704385880188219,"No"
60,34,64,2,1.7,"Advanced/Professional",236,"No",1,0,1,0,0.00641039917012603,0.00410946535858104,"No"
41,15,80,1,5.2,"Undergrad",0,"No",0,0,0,0,0.00109098438432506,0.00127786670671643,"No"
48,23,74,1,1.2,"Undergrad",0,"No",0,0,1,0,0.000187571073642584,0.000212522426790641,"No"
56,32,38,4,1.3,"Undergrad",166,"No",0,0,1,1,0.0000703517663670153,0.0000520106891606519,"No"
43,17,69,4,2.9,"Undergrad",0,"No",0,0,1,1,0.000377580179257352,0.000455502558955399,"No"
62,38,45,4,1.3,"Graduate",0,"No",0,0,1,0,0.0171718242072336,0.0142209202461709,"No"
40,15,82,3,1,"Undergrad",309,"No",0,0,0,0,0.00276221566087573,0.00227274034703355,"No"
58,34,92,2,2.8,"Undergrad",103,"No",0,0,0,0,0.00409167182742559,0.00313500669129467,"No"
65,40,81,3,1.8,"Graduate",0,"No",0,0,1,0,0.083631472707392,0.0703924512818235,"No"
54,29,35,1,1.5,"Graduate",0,"No",0,0,1,0,0.00134806816907632,0.00129625969054005,"No"
41,16,73,3,3,"Undergrad",0,"No",0,0,1,0,0.000783383445497656,0.000948056017251615,"No"
52,26,38,3,0.9,"Advanced/Professional",0,"No",0,0,1,0,0.0045212163875858,0.00464232937317246,"No"
37,13,84,1,3.6,"Graduate",0,"No",1,0,0,0,0.0196005036447175,0.0213001964409317,"No"
39,15,78,4,2.4,"Undergrad",118,"No",0,0,1,0,0.00205623349130189,0.00211970764334028,"No"
60,35,80,3,0.5,"Undergrad",0,"No",0,0,1,0,0.000945209430382492,0.00091553719143938,"No"
31,5,115,2,1.3,"Undergrad",101,"No",0,0,1,1,0.00121735942826665,0.00161193025083749,"No"
38,14,74,2,0,"Undergrad",0,"No",1,0,1,0,0.0000731216650870256,0.000092021879081173,"No"
