Rowid,vehicle_model_id,package_id,travel_type_id,from_area_id,to_area_id,from_city_id,to_city_id,online_booking,mobile_site_booking,from_date_DOW,from_date_Hour,booking_created_DOW,trip_length,Car_Cancellation
1,12,0,2,1021,1323,0,0,0,0,Tuesday,22,Tuesday,21.13894511,0
2,12,0,2,455,1330,0,0,0,0,Tuesday,12,Tuesday,6.017465895,0
3,12,0,2,814,393,0,0,1,0,Wednesday,0,Wednesday,32.40452446,0
4,12,0,2,297,212,0,0,0,0,Tuesday,13,Tuesday,0.827485695,0
5,28,0,2,1237,330,0,0,0,0,Tuesday,16,Tuesday,7.927800969,0
6,12,0,2,61,393,0,0,0,0,Tuesday,18,Tuesday,26.34253047,0
7,12,0,2,409,1194,0,0,0,0,Tuesday,16,Tuesday,9.084726303,0
8,12,0,2,1371,839,0,0,1,0,Wednesday,10,Wednesday,19.97179079,0
9,12,1,3,1323,0,0,0,1,0,Tuesday,19,Tuesday,0,0
10,12,0,2,1017,496,0,0,0,0,Wednesday,5,Wednesday,7.268640798,0
11,12,0,2,1373,1390,0,0,0,0,Tuesday,18,Tuesday,9.947839475,0
12,12,0,2,1323,585,0,0,1,0,Wednesday,16,Wednesday,14.76793031,0
13,12,2,3,142,0,0,0,0,0,Wednesday,3,Wednesday,0,0
14,24,0,2,58,393,0,0,0,0,Wednesday,17,Wednesday,36.35534143,0
15,85,0,2,393,392,0,0,0,0,Wednesday,12,Wednesday,23.94017534,0
16,12,0,2,145,871,0,0,0,0,Wednesday,8,Wednesday,9.730316849,0
17,12,0,2,1384,1053,0,0,1,0,Wednesday,6,Wednesday,13.72142333,0
18,12,0,2,112,393,0,0,0,0,Wednesday,8,Wednesday,33.31149792,0
19,12,0,2,515,186,0,0,1,0,Wednesday,6,Wednesday,19.92320396,1
20,12,0,2,793,949,0,0,0,0,Wednesday,9,Wednesday,4.960944192,0
21,12,0,2,455,1183,0,0,0,0,Wednesday,11,Wednesday,3.957307755,0
22,12,0,2,516,393,0,0,0,0,Wednesday,10,Wednesday,22.23270004,0
